_start meta data
_update_action,SKU_Oferta,SKU_Conteudo
modify,oi_total_banda_larga_fixo_intermediario_fid_po_com_sd_com_sva_35mb_r1_al,fixo_identificador_de_chamadas
modify,oi_total_banda_larga_fixo_intermediario_fid_po_com_sd_com_sva_35mb_r1_am,fixo_identificador_de_chamadas
modify,oi_total_banda_larga_fixo_intermediario_fid_po_com_sd_com_sva_35mb_r1_ap,fixo_identificador_de_chamadas
modify,oi_total_banda_larga_fixo_intermediario_fid_po_com_sd_com_sva_35mb_r1_ma,fixo_identificador_de_chamadas
modify,oi_total_banda_larga_fixo_intermediario_fid_po_com_sd_com_sva_35mb_r1_mg,fixo_identificador_de_chamadas
modify,oi_total_banda_larga_fixo_intermediario_fid_po_com_sd_com_sva_35mb_r1_pa,fixo_identificador_de_chamadas
modify,oi_total_banda_larga_fixo_intermediario_fid_po_com_sd_com_sva_35mb_r1_pe,fixo_identificador_de_chamadas
modify,oi_total_banda_larga_fixo_intermediario_fid_po_com_sd_com_sva_35mb_r1_pi,fixo_identificador_de_chamadas
modify,oi_total_banda_larga_fixo_intermediario_fid_po_com_sd_com_sva_35mb_r1_rr,fixo_identificador_de_chamadas
modify,oi_total_banda_larga_fixo_intermediario_fid_po_com_sd_com_sva_15mb_r2,fixo_identificador_de_chamadas
modify,oi_total_banda_larga_fixo_intermediario_fid_po_com_sd_com_sva_25mb_r2,fixo_identificador_de_chamadas
modify,oi_total_banda_larga_fixo_intermediario_fid_po_com_sd_com_sva_35mb_r2,fixo_identificador_de_chamadas
modify,oi_total_banda_larga_fixo_top_fid_po_com_sd_com_sva_15mb_r1_ce,fixo_identificador_de_chamadas
modify,oi_total_banda_larga_fixo_top_fid_po_com_sd_com_sva_15mb_r1_es,fixo_identificador_de_chamadas
modify,oi_total_banda_larga_fixo_top_fid_po_com_sd_com_sva_15mb_r1_pb,fixo_identificador_de_chamadas
modify,oi_total_banda_larga_fixo_top_fid_po_com_sd_com_sva_15mb_r1_rn,fixo_identificador_de_chamadas
modify,oi_total_banda_larga_fixo_top_fid_po_com_sd_com_sva_15mb_r1_se,fixo_identificador_de_chamadas
modify,oi_total_banda_larga_fixo_top_fid_po_com_sd_com_sva_15mb_r1_ba,fixo_identificador_de_chamadas
modify,oi_total_banda_larga_fixo_top_fid_po_com_sd_com_sva_15mb_r1_rj,fixo_identificador_de_chamadas
modify,oi_total_banda_larga_fixo_top_fid_po_com_sd_com_sva_15mb_r1_al,fixo_identificador_de_chamadas
modify,oi_total_banda_larga_fixo_top_fid_po_com_sd_com_sva_15mb_r1_am,fixo_identificador_de_chamadas
modify,oi_total_banda_larga_fixo_top_fid_po_com_sd_com_sva_15mb_r1_ap,fixo_identificador_de_chamadas
modify,oi_total_banda_larga_fixo_top_fid_po_com_sd_com_sva_15mb_r1_ma,fixo_identificador_de_chamadas
modify,oi_total_banda_larga_fixo_top_fid_po_com_sd_com_sva_15mb_r1_mg,fixo_identificador_de_chamadas
modify,oi_total_banda_larga_fixo_top_fid_po_com_sd_com_sva_15mb_r1_pa,fixo_identificador_de_chamadas
modify,oi_total_banda_larga_fixo_top_fid_po_com_sd_com_sva_15mb_r1_pe,fixo_identificador_de_chamadas
modify,oi_total_banda_larga_fixo_top_fid_po_com_sd_com_sva_15mb_r1_pi,fixo_identificador_de_chamadas
modify,oi_total_banda_larga_fixo_top_fid_po_com_sd_com_sva_15mb_r1_rr,fixo_identificador_de_chamadas
modify,oi_total_banda_larga_fixo_top_fid_po_com_sd_com_sva_25mb_r1_ce,fixo_identificador_de_chamadas
modify,oi_total_banda_larga_fixo_top_fid_po_com_sd_com_sva_25mb_r1_es,fixo_identificador_de_chamadas
modify,oi_total_banda_larga_fixo_top_fid_po_com_sd_com_sva_25mb_r1_pb,fixo_identificador_de_chamadas
modify,oi_total_banda_larga_fixo_top_fid_po_com_sd_com_sva_25mb_r1_rn,fixo_identificador_de_chamadas
modify,oi_total_banda_larga_fixo_top_fid_po_com_sd_com_sva_25mb_r1_se,fixo_identificador_de_chamadas
modify,oi_total_banda_larga_fixo_top_fid_po_com_sd_com_sva_25mb_r1_ba,fixo_identificador_de_chamadas
modify,oi_total_banda_larga_fixo_top_fid_po_com_sd_com_sva_25mb_r1_rj,fixo_identificador_de_chamadas
modify,oi_total_banda_larga_fixo_top_fid_po_com_sd_com_sva_25mb_r1_al,fixo_identificador_de_chamadas
modify,oi_total_banda_larga_fixo_top_fid_po_com_sd_com_sva_25mb_r1_am,fixo_identificador_de_chamadas
modify,oi_total_banda_larga_fixo_top_fid_po_com_sd_com_sva_25mb_r1_ap,fixo_identificador_de_chamadas
modify,oi_total_banda_larga_fixo_top_fid_po_com_sd_com_sva_25mb_r1_ma,fixo_identificador_de_chamadas
modify,oi_total_banda_larga_fixo_top_fid_po_com_sd_com_sva_25mb_r1_mg,fixo_identificador_de_chamadas
modify,oi_total_banda_larga_fixo_top_fid_po_com_sd_com_sva_25mb_r1_pa,fixo_identificador_de_chamadas
modify,oi_total_banda_larga_fixo_top_fid_po_com_sd_com_sva_25mb_r1_pe,fixo_identificador_de_chamadas
modify,oi_total_banda_larga_fixo_top_fid_po_com_sd_com_sva_25mb_r1_pi,fixo_identificador_de_chamadas
modify,oi_total_banda_larga_fixo_top_fid_po_com_sd_com_sva_25mb_r1_rr,fixo_identificador_de_chamadas
modify,oi_total_banda_larga_fixo_top_fid_po_com_sd_com_sva_35mb_r1_ce,fixo_identificador_de_chamadas
modify,oi_total_banda_larga_fixo_top_fid_po_com_sd_com_sva_35mb_r1_es,fixo_identificador_de_chamadas
modify,oi_total_banda_larga_fixo_top_fid_po_com_sd_com_sva_35mb_r1_pb,fixo_identificador_de_chamadas
modify,oi_total_banda_larga_fixo_top_fid_po_com_sd_com_sva_35mb_r1_rn,fixo_identificador_de_chamadas
modify,oi_total_banda_larga_fixo_top_fid_po_com_sd_com_sva_35mb_r1_se,fixo_identificador_de_chamadas
modify,oi_total_banda_larga_fixo_top_fid_po_com_sd_com_sva_35mb_r1_ba,fixo_identificador_de_chamadas
modify,oi_total_banda_larga_fixo_top_fid_po_com_sd_com_sva_35mb_r1_rj,fixo_identificador_de_chamadas
modify,oi_total_banda_larga_fixo_top_fid_po_com_sd_com_sva_35mb_r1_al,fixo_identificador_de_chamadas
modify,oi_total_banda_larga_fixo_top_fid_po_com_sd_com_sva_35mb_r1_am,fixo_identificador_de_chamadas
modify,oi_total_banda_larga_fixo_top_fid_po_com_sd_com_sva_35mb_r1_ap,fixo_identificador_de_chamadas
modify,oi_total_banda_larga_fixo_top_fid_po_com_sd_com_sva_35mb_r1_ma,fixo_identificador_de_chamadas
modify,oi_total_banda_larga_fixo_top_fid_po_com_sd_com_sva_35mb_r1_mg,fixo_identificador_de_chamadas
modify,oi_total_banda_larga_fixo_top_fid_po_com_sd_com_sva_35mb_r1_pa,fixo_identificador_de_chamadas
modify,oi_total_banda_larga_fixo_top_fid_po_com_sd_com_sva_35mb_r1_pe,fixo_identificador_de_chamadas
modify,oi_total_banda_larga_fixo_top_fid_po_com_sd_com_sva_35mb_r1_pi,fixo_identificador_de_chamadas
modify,oi_total_banda_larga_fixo_top_fid_po_com_sd_com_sva_35mb_r1_rr,fixo_identificador_de_chamadas
modify,oi_total_banda_larga_fixo_top_fid_po_com_sd_com_sva_15mb_r2,fixo_identificador_de_chamadas
modify,oi_total_banda_larga_fixo_top_fid_po_com_sd_com_sva_25mb_r2,fixo_identificador_de_chamadas
modify,oi_total_banda_larga_fixo_top_fid_po_com_sd_com_sva_35mb_r2,fixo_identificador_de_chamadas
modify,oi_total_banda_larga_fixo_basico_fid_guer_com_sd_sem_sva_15mb_r1_ce,fixo_identificador_de_chamadas
modify,oi_total_banda_larga_fixo_basico_fid_guer_com_sd_sem_sva_15mb_r1_es,fixo_identificador_de_chamadas
modify,oi_total_banda_larga_fixo_basico_fid_guer_com_sd_sem_sva_15mb_r1_pb,fixo_identificador_de_chamadas
modify,oi_total_banda_larga_fixo_basico_fid_guer_com_sd_sem_sva_15mb_r1_rn,fixo_identificador_de_chamadas
modify,oi_total_banda_larga_fixo_basico_fid_guer_com_sd_sem_sva_15mb_r1_se,fixo_identificador_de_chamadas
modify,oi_total_banda_larga_fixo_basico_fid_guer_com_sd_sem_sva_15mb_r1_ba,fixo_identificador_de_chamadas
modify,oi_total_banda_larga_fixo_basico_fid_guer_com_sd_sem_sva_15mb_r1_rj,fixo_identificador_de_chamadas
modify,oi_total_banda_larga_fixo_basico_fid_guer_com_sd_sem_sva_15mb_r1_al,fixo_identificador_de_chamadas
modify,oi_total_banda_larga_fixo_basico_fid_guer_com_sd_sem_sva_15mb_r1_am,fixo_identificador_de_chamadas
modify,oi_total_banda_larga_fixo_basico_fid_guer_com_sd_sem_sva_15mb_r1_ap,fixo_identificador_de_chamadas
modify,oi_total_banda_larga_fixo_basico_fid_guer_com_sd_sem_sva_15mb_r1_ma,fixo_identificador_de_chamadas
modify,oi_total_banda_larga_fixo_basico_fid_guer_com_sd_sem_sva_15mb_r1_mg,fixo_identificador_de_chamadas
modify,oi_total_banda_larga_fixo_basico_fid_guer_com_sd_sem_sva_15mb_r1_pa,fixo_identificador_de_chamadas
modify,oi_total_banda_larga_fixo_basico_fid_guer_com_sd_sem_sva_15mb_r1_pe,fixo_identificador_de_chamadas
modify,oi_total_banda_larga_fixo_basico_fid_guer_com_sd_sem_sva_15mb_r1_pi,fixo_identificador_de_chamadas
modify,oi_total_banda_larga_fixo_basico_fid_guer_com_sd_sem_sva_15mb_r1_rr,fixo_identificador_de_chamadas
modify,oi_total_banda_larga_fixo_basico_fid_guer_com_sd_sem_sva_25mb_r1_ce,fixo_identificador_de_chamadas
modify,oi_total_banda_larga_fixo_basico_fid_guer_com_sd_sem_sva_25mb_r1_es,fixo_identificador_de_chamadas
modify,oi_total_banda_larga_fixo_basico_fid_guer_com_sd_sem_sva_25mb_r1_pb,fixo_identificador_de_chamadas
modify,oi_total_banda_larga_fixo_basico_fid_guer_com_sd_sem_sva_25mb_r1_rn,fixo_identificador_de_chamadas
modify,oi_total_banda_larga_fixo_basico_fid_guer_com_sd_sem_sva_25mb_r1_se,fixo_identificador_de_chamadas
modify,oi_total_banda_larga_fixo_basico_fid_guer_com_sd_sem_sva_25mb_r1_ba,fixo_identificador_de_chamadas
modify,oi_total_banda_larga_fixo_basico_fid_guer_com_sd_sem_sva_25mb_r1_rj,fixo_identificador_de_chamadas
modify,oi_total_banda_larga_fixo_basico_fid_guer_com_sd_sem_sva_25mb_r1_al,fixo_identificador_de_chamadas
modify,oi_total_banda_larga_fixo_basico_fid_guer_com_sd_sem_sva_25mb_r1_am,fixo_identificador_de_chamadas
modify,oi_total_banda_larga_fixo_basico_fid_guer_com_sd_sem_sva_25mb_r1_ap,fixo_identificador_de_chamadas
modify,oi_total_banda_larga_fixo_basico_fid_guer_com_sd_sem_sva_25mb_r1_ma,fixo_identificador_de_chamadas
modify,oi_total_banda_larga_fixo_basico_fid_guer_com_sd_sem_sva_25mb_r1_mg,fixo_identificador_de_chamadas
modify,oi_total_banda_larga_fixo_basico_fid_guer_com_sd_sem_sva_25mb_r1_pa,fixo_identificador_de_chamadas
modify,oi_total_banda_larga_fixo_basico_fid_guer_com_sd_sem_sva_25mb_r1_pe,fixo_identificador_de_chamadas
modify,oi_total_banda_larga_fixo_basico_fid_guer_com_sd_sem_sva_25mb_r1_pi,fixo_identificador_de_chamadas
modify,oi_total_banda_larga_fixo_basico_fid_guer_com_sd_sem_sva_25mb_r1_rr,fixo_identificador_de_chamadas
modify,oi_total_banda_larga_fixo_basico_fid_guer_com_sd_sem_sva_35mb_r1_ce,fixo_identificador_de_chamadas
modify,oi_total_banda_larga_fixo_basico_fid_guer_com_sd_sem_sva_35mb_r1_es,fixo_identificador_de_chamadas
modify,oi_total_banda_larga_fixo_basico_fid_guer_com_sd_sem_sva_35mb_r1_pb,fixo_identificador_de_chamadas
modify,oi_total_banda_larga_fixo_basico_fid_guer_com_sd_sem_sva_35mb_r1_rn,fixo_identificador_de_chamadas
modify,oi_total_banda_larga_fixo_basico_fid_guer_com_sd_sem_sva_35mb_r1_se,fixo_identificador_de_chamadas
modify,oi_total_banda_larga_fixo_basico_fid_guer_com_sd_sem_sva_35mb_r1_ba,fixo_identificador_de_chamadas
modify,oi_total_banda_larga_fixo_basico_fid_guer_com_sd_sem_sva_35mb_r1_rj,fixo_identificador_de_chamadas
modify,oi_total_banda_larga_fixo_basico_fid_guer_com_sd_sem_sva_35mb_r1_al,fixo_identificador_de_chamadas
modify,oi_total_banda_larga_fixo_basico_fid_guer_com_sd_sem_sva_35mb_r1_am,fixo_identificador_de_chamadas
modify,oi_total_banda_larga_fixo_basico_fid_guer_com_sd_sem_sva_35mb_r1_ap,fixo_identificador_de_chamadas
modify,oi_total_banda_larga_fixo_basico_fid_guer_com_sd_sem_sva_35mb_r1_ma,fixo_identificador_de_chamadas
modify,oi_total_banda_larga_fixo_basico_fid_guer_com_sd_sem_sva_35mb_r1_mg,fixo_identificador_de_chamadas
modify,oi_total_banda_larga_fixo_basico_fid_guer_com_sd_sem_sva_35mb_r1_pa,fixo_identificador_de_chamadas
modify,oi_total_banda_larga_fixo_basico_fid_guer_com_sd_sem_sva_35mb_r1_pe,fixo_identificador_de_chamadas
modify,oi_total_banda_larga_fixo_basico_fid_guer_com_sd_sem_sva_35mb_r1_pi,fixo_identificador_de_chamadas
modify,oi_total_banda_larga_fixo_basico_fid_guer_com_sd_sem_sva_35mb_r1_rr,fixo_identificador_de_chamadas
modify,oi_total_banda_larga_fixo_basico_fid_guer_com_sd_sem_sva_15mb_r2,fixo_identificador_de_chamadas
modify,oi_total_banda_larga_fixo_basico_fid_guer_com_sd_sem_sva_25mb_r2,fixo_identificador_de_chamadas
modify,oi_total_banda_larga_fixo_basico_fid_guer_com_sd_sem_sva_35mb_r2,fixo_identificador_de_chamadas
modify,oi_total_banda_larga_fixo_intermediario_fid_guer_com_sd_sem_sva_15mb_r1_ce,fixo_identificador_de_chamadas
modify,oi_total_banda_larga_fixo_intermediario_fid_guer_com_sd_sem_sva_15mb_r1_es,fixo_identificador_de_chamadas
modify,oi_total_banda_larga_fixo_intermediario_fid_guer_com_sd_sem_sva_15mb_r1_pb,fixo_identificador_de_chamadas
modify,oi_total_banda_larga_fixo_intermediario_fid_guer_com_sd_sem_sva_15mb_r1_rn,fixo_identificador_de_chamadas
modify,oi_total_banda_larga_fixo_intermediario_fid_guer_com_sd_sem_sva_15mb_r1_se,fixo_identificador_de_chamadas
modify,oi_total_banda_larga_fixo_intermediario_fid_guer_com_sd_sem_sva_15mb_r1_ba,fixo_identificador_de_chamadas
modify,oi_total_banda_larga_fixo_intermediario_fid_guer_com_sd_sem_sva_15mb_r1_rj,fixo_identificador_de_chamadas
modify,oi_total_banda_larga_fixo_intermediario_fid_guer_com_sd_sem_sva_15mb_r1_al,fixo_identificador_de_chamadas
modify,oi_total_banda_larga_fixo_intermediario_fid_guer_com_sd_sem_sva_15mb_r1_am,fixo_identificador_de_chamadas
modify,oi_total_banda_larga_fixo_intermediario_fid_guer_com_sd_sem_sva_15mb_r1_ap,fixo_identificador_de_chamadas
modify,oi_total_banda_larga_fixo_intermediario_fid_guer_com_sd_sem_sva_15mb_r1_ma,fixo_identificador_de_chamadas
modify,oi_total_banda_larga_fixo_intermediario_fid_guer_com_sd_sem_sva_15mb_r1_mg,fixo_identificador_de_chamadas
modify,oi_total_banda_larga_fixo_intermediario_fid_guer_com_sd_sem_sva_15mb_r1_pa,fixo_identificador_de_chamadas
modify,oi_total_banda_larga_fixo_intermediario_fid_guer_com_sd_sem_sva_15mb_r1_pe,fixo_identificador_de_chamadas
modify,oi_total_banda_larga_fixo_intermediario_fid_guer_com_sd_sem_sva_15mb_r1_pi,fixo_identificador_de_chamadas
modify,oi_total_banda_larga_fixo_intermediario_fid_guer_com_sd_sem_sva_15mb_r1_rr,fixo_identificador_de_chamadas
modify,oi_total_banda_larga_fixo_intermediario_fid_guer_com_sd_sem_sva_25mb_r1_ce,fixo_identificador_de_chamadas
modify,oi_total_banda_larga_fixo_intermediario_fid_guer_com_sd_sem_sva_25mb_r1_es,fixo_identificador_de_chamadas
modify,oi_total_banda_larga_fixo_intermediario_fid_guer_com_sd_sem_sva_25mb_r1_pb,fixo_identificador_de_chamadas
modify,oi_total_banda_larga_fixo_intermediario_fid_guer_com_sd_sem_sva_25mb_r1_rn,fixo_identificador_de_chamadas
modify,oi_total_banda_larga_fixo_intermediario_fid_guer_com_sd_sem_sva_25mb_r1_se,fixo_identificador_de_chamadas
modify,oi_total_banda_larga_fixo_intermediario_fid_guer_com_sd_sem_sva_25mb_r1_ba,fixo_identificador_de_chamadas
modify,oi_total_banda_larga_fixo_intermediario_fid_guer_com_sd_sem_sva_25mb_r1_rj,fixo_identificador_de_chamadas
modify,oi_total_banda_larga_fixo_intermediario_fid_guer_com_sd_sem_sva_25mb_r1_la,fixo_identificador_de_chamadas
modify,oi_total_banda_larga_fixo_intermediario_fid_guer_com_sd_sem_sva_25mb_r1_am,fixo_identificador_de_chamadas
modify,oi_total_banda_larga_fixo_intermediario_fid_guer_com_sd_sem_sva_25mb_r1_ap,fixo_identificador_de_chamadas
modify,oi_total_banda_larga_fixo_intermediario_fid_guer_com_sd_sem_sva_25mb_r1_ma,fixo_identificador_de_chamadas
modify,oi_total_banda_larga_fixo_intermediario_fid_guer_com_sd_sem_sva_25mb_r1_mg,fixo_identificador_de_chamadas
modify,oi_total_banda_larga_fixo_intermediario_fid_guer_com_sd_sem_sva_25mb_r1_pa,fixo_identificador_de_chamadas
modify,oi_total_banda_larga_fixo_intermediario_fid_guer_com_sd_sem_sva_25mb_r1_pe,fixo_identificador_de_chamadas
modify,oi_total_banda_larga_fixo_intermediario_fid_guer_com_sd_sem_sva_25mb_r1_pi,fixo_identificador_de_chamadas
modify,oi_total_banda_larga_fixo_intermediario_fid_guer_com_sd_sem_sva_25mb_r1_rr,fixo_identificador_de_chamadas
modify,oi_total_banda_larga_fixo_intermediario_fid_guer_com_sd_sem_sva_35mb_r1_ce,fixo_identificador_de_chamadas
modify,oi_total_banda_larga_fixo_intermediario_fid_guer_com_sd_sem_sva_35mb_r1_es,fixo_identificador_de_chamadas
modify,oi_total_banda_larga_fixo_intermediario_fid_guer_com_sd_sem_sva_35mb_r1_pb,fixo_identificador_de_chamadas
modify,oi_total_banda_larga_fixo_intermediario_fid_guer_com_sd_sem_sva_35mb_r1_rn,fixo_identificador_de_chamadas
modify,oi_total_banda_larga_fixo_intermediario_fid_guer_com_sd_sem_sva_35mb_r1_se,fixo_identificador_de_chamadas
modify,oi_total_banda_larga_fixo_intermediario_fid_guer_com_sd_sem_sva_35mb_r1_ba,fixo_identificador_de_chamadas
modify,oi_total_banda_larga_fixo_intermediario_fid_guer_com_sd_sem_sva_35mb_r1_rj,fixo_identificador_de_chamadas
modify,oi_total_banda_larga_fixo_intermediario_fid_guer_com_sd_sem_sva_35mb_r1_al,fixo_identificador_de_chamadas
modify,oi_total_banda_larga_fixo_intermediario_fid_guer_com_sd_sem_sva_35mb_r1_am,fixo_identificador_de_chamadas
modify,oi_total_banda_larga_fixo_intermediario_fid_guer_com_sd_sem_sva_35mb_r1_ap,fixo_identificador_de_chamadas
modify,oi_total_banda_larga_fixo_intermediario_fid_guer_com_sd_sem_sva_35mb_r1_ma,fixo_identificador_de_chamadas
modify,oi_total_banda_larga_fixo_intermediario_fid_guer_com_sd_sem_sva_35mb_r1_mg,fixo_identificador_de_chamadas
modify,oi_total_banda_larga_fixo_intermediario_fid_guer_com_sd_sem_sva_35mb_r1_pa,fixo_identificador_de_chamadas
modify,oi_total_banda_larga_fixo_intermediario_fid_guer_com_sd_sem_sva_35mb_r1_pe,fixo_identificador_de_chamadas
modify,oi_total_banda_larga_fixo_intermediario_fid_guer_com_sd_sem_sva_35mb_r1_pi,fixo_identificador_de_chamadas
modify,oi_total_banda_larga_fixo_intermediario_fid_guer_com_sd_sem_sva_35mb_r1_rr,fixo_identificador_de_chamadas
modify,oi_total_banda_larga_fixo_intermediario_fid_guer_com_sd_sem_sva_15mb_r2,fixo_identificador_de_chamadas
modify,oi_total_banda_larga_fixo_intermediario_fid_guer_com_sd_sem_sva_25mb_r2,fixo_identificador_de_chamadas
modify,oi_total_banda_larga_fixo_intermediario_fid_guer_com_sd_sem_sva_35mb_r2,fixo_identificador_de_chamadas
modify,oi_total_banda_larga_fixo_top_fid_guer_com_sd_sem_sva_15mb_r1_ce,fixo_identificador_de_chamadas
modify,oi_total_banda_larga_fixo_top_fid_guer_com_sd_sem_sva_15mb_r1_es,fixo_identificador_de_chamadas
modify,oi_total_banda_larga_fixo_top_fid_guer_com_sd_sem_sva_15mb_r1_pb,fixo_identificador_de_chamadas
modify,oi_total_banda_larga_fixo_top_fid_guer_com_sd_sem_sva_15mb_r1_rn,fixo_identificador_de_chamadas
modify,oi_total_banda_larga_fixo_top_fid_guer_com_sd_sem_sva_15mb_r1_se,fixo_identificador_de_chamadas
modify,oi_total_banda_larga_fixo_top_fid_guer_com_sd_sem_sva_15mb_r1_ba,fixo_identificador_de_chamadas
modify,oi_total_banda_larga_fixo_top_fid_guer_com_sd_sem_sva_15mb_r1_rj,fixo_identificador_de_chamadas
modify,oi_total_banda_larga_fixo_top_fid_guer_com_sd_sem_sva_15mb_r1_al,fixo_identificador_de_chamadas
modify,oi_total_banda_larga_fixo_top_fid_guer_com_sd_sem_sva_15mb_r1_am,fixo_identificador_de_chamadas
modify,oi_total_banda_larga_fixo_top_fid_guer_com_sd_sem_sva_15mb_r1_ap,fixo_identificador_de_chamadas
modify,oi_total_banda_larga_fixo_top_fid_guer_com_sd_sem_sva_15mb_r1_ma,fixo_identificador_de_chamadas
modify,oi_total_banda_larga_fixo_top_fid_guer_com_sd_sem_sva_15mb_r1_mg,fixo_identificador_de_chamadas
modify,oi_total_banda_larga_fixo_top_fid_guer_com_sd_sem_sva_15mb_r1_pa,fixo_identificador_de_chamadas
modify,oi_total_banda_larga_fixo_top_fid_guer_com_sd_sem_sva_15mb_r1_pe,fixo_identificador_de_chamadas
modify,oi_total_banda_larga_fixo_top_fid_guer_com_sd_sem_sva_15mb_r1_pi,fixo_identificador_de_chamadas
modify,oi_total_banda_larga_fixo_top_fid_guer_com_sd_sem_sva_15mb_r1_rr,fixo_identificador_de_chamadas
modify,oi_total_banda_larga_fixo_top_fid_guer_com_sd_sem_sva_25mb_r1_ce,fixo_identificador_de_chamadas
modify,oi_total_banda_larga_fixo_top_fid_guer_com_sd_sem_sva_25mb_r1_es,fixo_identificador_de_chamadas
modify,oi_total_banda_larga_fixo_top_fid_guer_com_sd_sem_sva_25mb_r1_pb,fixo_identificador_de_chamadas
modify,oi_total_banda_larga_fixo_top_fid_guer_com_sd_sem_sva_25mb_r1_rn,fixo_identificador_de_chamadas
modify,oi_total_banda_larga_fixo_top_fid_guer_com_sd_sem_sva_25mb_r1_se,fixo_identificador_de_chamadas
modify,oi_total_banda_larga_fixo_top_fid_guer_com_sd_sem_sva_25mb_r1_ba,fixo_identificador_de_chamadas
modify,oi_total_banda_larga_fixo_top_fid_guer_com_sd_sem_sva_25mb_r1_rj,fixo_identificador_de_chamadas
modify,oi_total_banda_larga_fixo_top_fid_guer_com_sd_sem_sva_25mb_r1_al,fixo_identificador_de_chamadas
modify,oi_total_banda_larga_fixo_top_fid_guer_com_sd_sem_sva_25mb_r1_am,fixo_identificador_de_chamadas
modify,oi_total_banda_larga_fixo_top_fid_guer_com_sd_sem_sva_25mb_r1_ap,fixo_identificador_de_chamadas
modify,oi_total_banda_larga_fixo_top_fid_guer_com_sd_sem_sva_25mb_r1_ma,fixo_identificador_de_chamadas
modify,oi_total_banda_larga_fixo_top_fid_guer_com_sd_sem_sva_25mb_r1_mg,fixo_identificador_de_chamadas
modify,oi_total_banda_larga_fixo_top_fid_guer_com_sd_sem_sva_25mb_r1_pa,fixo_identificador_de_chamadas
modify,oi_total_banda_larga_fixo_top_fid_guer_com_sd_sem_sva_25mb_r1_pe,fixo_identificador_de_chamadas
modify,oi_total_banda_larga_fixo_top_fid_guer_com_sd_sem_sva_25mb_r1_pi,fixo_identificador_de_chamadas
modify,oi_total_banda_larga_fixo_top_fid_guer_com_sd_sem_sva_25mb_r1_rr,fixo_identificador_de_chamadas
modify,oi_total_banda_larga_fixo_top_fid_guer_com_sd_sem_sva_35mb_r1_ce,fixo_identificador_de_chamadas
modify,oi_total_banda_larga_fixo_top_fid_guer_com_sd_sem_sva_35mb_r1_es,fixo_identificador_de_chamadas
modify,oi_total_banda_larga_fixo_top_fid_guer_com_sd_sem_sva_35mb_r1_pb,fixo_identificador_de_chamadas
modify,oi_total_banda_larga_fixo_top_fid_guer_com_sd_sem_sva_35mb_r1_rn,fixo_identificador_de_chamadas
modify,oi_total_banda_larga_fixo_top_fid_guer_com_sd_sem_sva_35mb_r1_se,fixo_identificador_de_chamadas
modify,oi_total_banda_larga_fixo_top_fid_guer_com_sd_sem_sva_35mb_r1_ba,fixo_identificador_de_chamadas
modify,oi_total_banda_larga_fixo_top_fid_guer_com_sd_sem_sva_35mb_r1_rj,fixo_identificador_de_chamadas
modify,oi_total_banda_larga_fixo_top_fid_guer_com_sd_sem_sva_35mb_r1_al,fixo_identificador_de_chamadas
modify,oi_total_banda_larga_fixo_top_fid_guer_com_sd_sem_sva_35mb_r1_am,fixo_identificador_de_chamadas
modify,oi_total_banda_larga_fixo_top_fid_guer_com_sd_sem_sva_35mb_r1_ap,fixo_identificador_de_chamadas
modify,oi_total_banda_larga_fixo_top_fid_guer_com_sd_sem_sva_35mb_r1_ma,fixo_identificador_de_chamadas
modify,oi_total_banda_larga_fixo_top_fid_guer_com_sd_sem_sva_35mb_r1_mg,fixo_identificador_de_chamadas
modify,oi_total_banda_larga_fixo_top_fid_guer_com_sd_sem_sva_35mb_r1_pa,fixo_identificador_de_chamadas
modify,oi_total_banda_larga_fixo_top_fid_guer_com_sd_sem_sva_35mb_r1_pe,fixo_identificador_de_chamadas
modify,oi_total_banda_larga_fixo_top_fid_guer_com_sd_sem_sva_35mb_r1_pi,fixo_identificador_de_chamadas
modify,oi_total_banda_larga_fixo_top_fid_guer_com_sd_sem_sva_35mb_r1_rr,fixo_identificador_de_chamadas
modify,oi_total_banda_larga_fixo_top_fid_guer_com_sd_sem_sva_15mb_r2,fixo_identificador_de_chamadas
modify,oi_total_banda_larga_fixo_top_fid_guer_com_sd_sem_sva_25mb_r2,fixo_identificador_de_chamadas
modify,oi_total_banda_larga_fixo_top_fid_guer_com_sd_sem_sva_35mb_r2,fixo_identificador_de_chamadas
modify,oi_total_banda_larga_fixo_basico_fid_padrao_com_sd_com_sva_15mb_r1_ce,fixo_chamada_em_espera
modify,oi_total_banda_larga_fixo_basico_fid_padrao_com_sd_com_sva_15mb_r1_es,fixo_chamada_em_espera
modify,oi_total_banda_larga_fixo_basico_fid_padrao_com_sd_com_sva_15mb_r1_pb,fixo_chamada_em_espera
modify,oi_total_banda_larga_fixo_basico_fid_padrao_com_sd_com_sva_15mb_r1_rn,fixo_chamada_em_espera
modify,oi_total_banda_larga_fixo_basico_fid_padrao_com_sd_com_sva_15mb_r1_se,fixo_chamada_em_espera
modify,oi_total_banda_larga_fixo_basico_fid_padrao_com_sd_com_sva_15mb_r1_ba,fixo_chamada_em_espera
modify,oi_total_banda_larga_fixo_basico_fid_padrao_com_sd_com_sva_15mb_r1_rj,fixo_chamada_em_espera
modify,oi_total_banda_larga_fixo_basico_fid_padrao_com_sd_com_sva_15mb_r1_al,fixo_chamada_em_espera
modify,oi_total_banda_larga_fixo_basico_fid_padrao_com_sd_com_sva_15mb_r1_am,fixo_chamada_em_espera
